UserID,LengthOfScreenName,LengthOfDescriptionInUserProfile,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,Longevity,FollowRatio,TweetsPerDay,LinkAverage,UniqueLinkAverage,MentionAverage,UniqueMentionAverage,Compression_Ratio,FollowingChangeRate,label,Similarity,HashtagTweetsCount,HashtagAverage,UniqueHashtagAverage,AverageCharactersInHashtag,AverageWordsInHashtag
614,10,34,510,350,3265,1226,1.457142857142857,2.663132137030995,0.31,0.015,0.59,0.31,2.7444219066937117,0.3679282253909059,0,0.0578737969947872,1.0,0.005,0.005,2.0,1.0
1038,7,156,304,443,4405,1219,0.6862302483069977,3.613617719442166,0.275,0.1,0.805,0.46,2.5160680529300565,0.2803615881095986,0,0.018286719273223,28.0,0.165,0.11,8.767857142857142,2.267857142857143
1437,6,37,45,73,725,1219,0.6164383561643836,0.5947497949138638,0.095,0.02,0.65,0.205,2.4557195571955717,0.1321637200910179,0,0.0196799278489813,35.0,0.22,0.145,6.607142857142857,1.4357142857142857
2615,7,0,211,230,211,1226,0.9173913043478259,0.1721044045676998,0.135,0.085,0.38,0.215,2.630434782608696,0.2382615347721177,0,0.0208466691338712,2.0,0.01,0.01,11.5,3.0
3148,8,97,7346,7244,11438,1213,1.0140806184428492,9.429513602638089,0.5879396984924623,0.0351758793969849,0.7286432160804021,0.4874371859296482,2.635643564356436,0.3369526938665577,0,0.0202109308254212,18.0,0.09547738693467336,0.04020100502512563,7.527777777777778,1.25
5593,8,56,898,1024,2897,1172,0.876953125,2.4718430034129693,0.3618090452261306,0.0603015075376884,0.4371859296482412,0.2613065326633166,2.75,0.2559339434426655,0,0.0169261015058309,35.0,0.18090452261306533,0.06532663316582915,7.057142857142857,2.3142857142857145
9375,9,11,53,131,566,1126,0.4045801526717557,0.5026642984014209,0.315,0.09,0.58,0.15,3.1526315789473682,0.0660818600455089,0,0.0107179908285776,76.0,0.955,0.67,7.071224937343358,1.6031954887218043
10336,6,0,754,4103,6181,1120,0.1837679746526931,5.51875,0.27,0.045,1.07,0.62,2.716867469879518,0.2289142781149546,0,0.0221498189044917,31.0,0.16,0.095,12.387096774193548,2.4516129032258065
10455,9,15,140,222,1192,1116,0.6306306306306306,1.0681003584229392,0.0769230769230769,0.0219780219780219,0.5879120879120879,0.3626373626373626,2.7114228456913834,0.5032644525200499,0,0.0250729061003123,14.0,0.085,0.055,4.80952380952381,1.2142857142857142
10698,8,63,140,1329,17457,1116,0.1053423626787058,15.64247311827957,0.285,0.055,0.57,0.295,2.169296987087518,0.2382615347721177,0,0.0123106139218333,17.0,0.095,0.055,5.235294117647059,1.2352941176470589
11718,11,31,254,3639,8245,1112,0.0697993954383072,7.414568345323741,0.425,0.165,0.935,0.57,2.543233082706767,0.1321637200910179,0,0.039904926355662,1.0,0.015,0.015,17.0,4.666666666666667
12527,12,49,108,92,815,1108,1.173913043478261,0.7355595667870036,0.0677083333333333,0.03125,0.5364583333333334,0.1510416666666666,2.596928982725528,0.3558617071070626,0,0.0256553507810653,6.0,0.03125,0.020833333333333332,3.8333333333333335,1.1666666666666667
